,images,expected,predicted
577,../Images/test\class2\flickr_wild_000003.png,2,2
578,../Images/test\class2\flickr_wild_000019.png,2,2
579,../Images/test\class2\flickr_wild_000024.png,2,2
580,../Images/test\class2\flickr_wild_000353.png,2,2
581,../Images/test\class2\flickr_wild_000357.png,2,2
582,../Images/test\class2\flickr_wild_000363.png,2,2
583,../Images/test\class2\flickr_wild_000367.png,2,2
584,../Images/test\class2\flickr_wild_000374.png,2,2
585,../Images/test\class2\flickr_wild_000383.png,2,2
586,../Images/test\class2\flickr_wild_000384.png,2,2
587,../Images/test\class2\flickr_wild_000391.png,2,2
588,../Images/test\class2\flickr_wild_000572.png,2,2
589,../Images/test\class2\flickr_wild_000581.png,2,2
590,../Images/test\class2\flickr_wild_001131.png,2,2
591,../Images/test\class2\flickr_wild_001148.png,2,2
592,../Images/test\class2\flickr_wild_001163.png,2,2
593,../Images/test\class2\flickr_wild_001165.png,2,2
594,../Images/test\class2\flickr_wild_001180.png,2,2
595,../Images/test\class2\flickr_wild_001182.png,2,0
596,../Images/test\class2\flickr_wild_001191.png,2,2
597,../Images/test\class2\flickr_wild_001196.png,2,2
598,../Images/test\class2\flickr_wild_001197.png,2,2
599,../Images/test\class2\flickr_wild_001201.png,2,2
600,../Images/test\class2\flickr_wild_001202.png,2,2
601,../Images/test\class2\flickr_wild_001206.png,2,0
602,../Images/test\class2\flickr_wild_001212.png,2,2
603,../Images/test\class2\flickr_wild_001215.png,2,2
604,../Images/test\class2\flickr_wild_001222.png,2,2
605,../Images/test\class2\flickr_wild_001226.png,2,2
606,../Images/test\class2\flickr_wild_001227.png,2,2
607,../Images/test\class2\flickr_wild_001228.png,2,2
608,../Images/test\class2\flower_0017.png,2,2
609,../Images/test\class2\flower_0021.png,2,2
610,../Images/test\class2\flower_0024.png,2,2
611,../Images/test\class2\flower_0031.png,2,0
612,../Images/test\class2\flower_0037.png,2,2
613,../Images/test\class2\flower_0044.png,2,2
614,../Images/test\class2\flower_0047.png,2,2
615,../Images/test\class2\flower_0053.png,2,2
616,../Images/test\class2\flower_0054.png,2,2
617,../Images/test\class2\flower_0063.png,2,2
618,../Images/test\class2\flower_0068.png,2,2
619,../Images/test\class2\fruit_0180.png,2,2
620,../Images/test\class2\fruit_0187.png,2,2
621,../Images/test\class2\fruit_0208.png,2,2
622,../Images/test\class2\motorbike_0003.png,2,2
623,../Images/test\class2\motorbike_0006.png,2,2
624,../Images/test\class2\motorbike_0009.png,2,2
625,../Images/test\class2\pixabay_dog_003095.png,2,2
626,../Images/test\class2\pixabay_dog_003136.png,2,2
627,../Images/test\class2\pixabay_dog_003165.png,2,2
628,../Images/test\class2\pixabay_dog_003192.png,2,1
629,../Images/test\class2\pixabay_dog_003223.png,2,2
630,../Images/test\class2\pixabay_dog_003250.png,2,2
631,../Images/test\class2\pixabay_dog_003261.png,2,2
632,../Images/test\class2\pixabay_dog_003265.png,2,2
633,../Images/test\class2\pixabay_dog_003355.png,2,1
